cluster,incident_type,lat,lng
0,DISTURBANCE,38.97163,-92.38534
0,LARCENY MV,38.95198,-92.37344
0,FOOT PATROL,38.9576,-92.3714
0,LAW ALARM,38.9488,-92.3704
0,LARCENY,38.9594,-92.3713
0,911 CHECKS,38.9612,-92.3475
0,911 CHECKS,38.9617,-92.3582
0,ASSIST FIRE,38.97312,-92.3496
0,HARASSMENT,38.96622,-92.36725
0,LAW ALARM,38.95951,-92.35644
0,TRESPASSING,38.9549,-92.3622
0,KEEP THE PEACE,38.94329,-92.37363
0,ACCIDENT,38.97173,-92.3873
0,ABANDONED VEHICLE,38.96356,-92.37333
0,911 CHECKS,38.95807,-92.39098
0,LARCENY MV,38.95664,-92.37281
0,AUTO THEFT,38.95345,-92.37593
0,OVERDOSE,38.95724,-92.34728
0,SUSPICIOUS PERSON,38.94077,-92.36495
0,CHECK OPEN BUSINESS,38.9547,-92.3807
0,ASSIST CITIZEN,38.96135,-92.38274
0,CHECK OPEN BUSINESS,38.93485,-92.35832
0,LAW ALARM,38.94917,-92.36204
0,VANDALISM,38.93694,-92.35981
0,SUSPICIOUS PERSON,38.96678,-92.35708
0,911 CHECKS,38.96425,-92.35079
0,WARRANT,38.97808,-92.37108
0,SUSPICIOUS VEHICLE,38.9751,-92.3843
0,VANDALISM,38.96622,-92.36725
0,TRAFFIC STOP,38.9667,-92.3712
0,PEACE DISTURBANCE,38.96312,-92.36553
0,FOOT PATROL,38.98418,-92.36791
0,MISSING VEHICLE,38.9658,-92.3641
0,SUSPICIOUS INCIDENT,38.9653,-92.3712
0,911 CHECKS,38.95696,-92.38247
0,SHOPLIFTING,38.96289,-92.36622
0,HARASSMENT,38.97245,-92.36267
0,ASSIST CITIZEN,38.9799,-92.37153
0,SUSPICIOUS INCIDENT,38.96405,-92.37673
0,STALLED VEHICLE,38.95198,-92.37344
0,PARKING VIOLATION,38.94592,-92.35674
0,KEEP THE PEACE,38.96071,-92.36973
0,SUSPICIOUS INCIDENT,38.96457,-92.35411
0,VANDALISM,38.96311,-92.36613
0,ASSIST OFFICER,38.96165,-92.37299
0,HARASSMENT,38.961123,-92.370852
0,911 CHECKS,38.9636,-92.39369
0,911 CHECKS,38.97173,-92.3873
0,911 CHECKS,38.96062,-92.36845
0,ASSIST CITIZEN,38.96327,-92.37416
0,DISTURBANCE,38.9387,-92.3674
0,ABANDONED VEHICLE,38.97163,-92.38539
0,TRAFFIC STOP,38.9549,-92.3622
0,FOOT PATROL,38.9629,-92.37609
0,TRAFFIC STOP,38.96327,-92.37416
0,ACCIDENT,38.9663,-92.3502
0,LARCENY,38.97403,-92.38092
0,C&I DRIVING,38.95148,-92.37481
0,911 CHECKS,38.95688,-92.37278
0,ASSIST OTHER AGENCY,38.95052,-92.35856
0,WARRANT,38.9652,-92.3545
0,LAW ALARM,38.96421,-92.3557
0,TRAFFIC STOP,38.95603,-92.37552
0,TRAFFIC STOP,38.95797,-92.34963
0,TRAFFIC STOP,38.97425,-92.38294
0,SUSPICIOUS VEHICLE,38.97808,-92.37108
0,TRAFFIC STOP,38.9555,-92.3509
0,PEACE DISTURBANCE,38.93615,-92.3585
0,DISTURBANCE,38.9665,-92.3515
0,LAW ALARM,38.9708,-92.3989
0,TRAFFIC,38.954,-92.3714
0,911 CHECKS,38.96912,-92.34985
0,PUBLIC RELATIONS,38.9589,-92.3476
0,PARKING VIOLATION,38.94809,-92.3734
0,RECOVER PROPERTY,38.94441,-92.37265
0,SPECIAL ASSIGNMENT,38.94809,-92.3734
0,PUBLIC RELATIONS,38.96419,-92.37769
0,911 CHECKS,38.9699,-92.3824
0,PUBLIC RELATIONS,38.95797,-92.34963
0,LARCENY,38.93927,-92.35941
0,CIVIL MATTER,38.96607,-92.35417
0,LARCENY,38.95696,-92.38247
0,FRAUD,38.9769,-92.37542
0,SUSPICIOUS PERSON,38.95059,-92.37353
0,TRAFFIC,38.95864,-92.36492
0,ASSIST CITIZEN,38.96923,-92.34873
0,911 CHECKS,38.954,-92.3714
0,ASSAULT,38.96421,-92.3557
0,FRAUD,38.96724,-92.34795
0,ABANDONED VEHICLE,38.954,-92.3714
0,AUTO THEFT,38.96138,-92.38757
0,LAW ALARM,38.962,-92.36506
0,FOOT PATROL,38.963094,-92.358294
0,DISTURBANCE,38.9531,-92.3623
0,LARCENY MV,38.9623,-92.3449
0,ASSIST OTHER AGENCY,38.96335,-92.36559
